image_path,x1,y1,x2,y2,score
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,813.1004,317.76627,873.3338,377.7632,0.9999372
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,566.74744,307.86087,626.88446,367.86105,0.9998772
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,386.48578,19.94498,446.19406,79.98247,0.99985135
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,21.214918,374.99893,81.17034,435.02692,0.9997249
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,879.1821,687.11847,939.29926,747.6333,0.99964917
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,656.2503,583.86926,716.58453,644.7517,0.9955515
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,393.70724,746.75275,454.35248,806.8796,0.9801775
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,440.12103,721.0437,501.2613,781.70056,0.9690939
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.134.tif,415.56845,734.0759,471.89075,794.96155,0.5604962
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,210.70601,725.9498,270.77567,786.44446,0.99978846
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,417.90988,847.9394,478.08682,908.14856,0.9992576
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,234.5236,108.59795,293.81387,168.30878,0.99919933
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,36.45744,562.287,96.27335,623.3864,0.9991345
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,274.04633,200.20781,334.2709,260.29556,0.9990609
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,935.06537,230.89304,995.63855,291.25998,0.99893564
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,877.95984,492.19565,938.01855,552.20636,0.9924624
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,736.59937,651.70013,797.0787,712.0974,0.99091816
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.154.tif,295.56314,550.5182,355.86087,611.6146,0.9613957
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.156.tif,98.294876,84.237915,158.15637,144.3728,0.9999411
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.156.tif,280.02927,734.0311,339.93527,793.9558,0.99701583
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.215.tif,935.26,247.67099,971.7442,283.81598,0.9982547
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.44.tif,96.21587,539.4542,156.60248,599.281,0.99915504
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.44.tif,326.331,558.3611,386.75482,618.60077,0.9976205
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.52.tif,247.219,135.62343,307.48758,195.61945,0.99996614
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.52.tif,26.767273,325.5722,86.15208,385.3742,0.9997278
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.52.tif,740.5912,380.461,800.558,440.37476,0.99948525
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.52.tif,439.65836,661.91113,499.18277,722.32635,0.9992805
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.52.tif,759.1613,161.51099,819.21326,221.66672,0.99571335
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.53.tif,191.36122,378.8431,251.23766,438.69345,0.99991596
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.53.tif,882.9114,184.97989,942.7706,244.8153,0.9999144
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.53.tif,719.703,286.928,779.8089,347.30746,0.9998994
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.53.tif,181.78369,885.26086,241.78104,945.7087,0.9994573
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.53.tif,914.4319,69.41713,973.45685,128.773,0.99771273
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.56.tif,817.0561,50.093494,877.1969,110.53706,0.9995245
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.56.tif,174.77599,847.6541,234.71912,907.27936,0.998635
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.56.tif,199.51132,272.6426,259.60925,332.97406,0.99826366
/home/nader/scripts/retinanet_scripts/urchins/images/St_helens_is_2009_night_deep.56.tif,93.71641,726.8463,154.09984,787.2488,0.9971935
